Date,TikTok,Facebook,Google Ads,Sales,CPIAUCSL,inflation_yoy,week_of_year,month,year,quarter,is_holiday,is_summer,is_q4,total_spend,google_x_inflation,facebook_x_inflation,unemployment,retail_sales,wei_index
2018-05-06,9589.68,5160.93,1889.49,15013.62,250.792,2.781921607842497,18,5,2018,2,0,0,0,16640.100000000002,5256.413058802319,14357.30268356258,3.8,432340,2.64
2018-05-13,10626.14,0,1922.63,14158.32,250.792,2.781921607842497,19,5,2018,2,0,0,0,12548.77,5348.60594088622,0,3.8,432340,2.58
2018-05-20,8291.81,4605.15,1897.94,15918.14,250.792,2.781921607842497,20,5,2018,2,0,0,0,14794.9,5279.920296388588,12811.166292355874,3.8,432340,2.16
2018-05-27,0,0,2036.79,11128.75,250.792,2.781921607842497,21,5,2018,2,0,0,0,2036.79,5666.190111637519,0,3.8,432340,2.8
2018-06-03,11307.24,0,1922.9,12170.36,251.018,2.8075506935940187,22,6,2018,2,0,1,0,13230.14,5398.639228711939,0,4,430008,2.63
2018-06-10,0,0,1679.63,10134.7,251.018,2.8075506935940187,23,6,2018,2,0,1,0,1679.63,4715.646371481322,0,4,430008,2.74
2018-06-17,8515.67,4006.88,0,11093.55,251.018,2.8075506935940187,24,6,2018,2,0,1,0,12522.55,0,11249.518723148,4,430008,2.16
2018-06-24,0,0,0,8170.63,251.018,2.8075506935940187,25,6,2018,2,0,1,0,0,0,0,4,430008,2.32
2018-07-01,0,0,0,6542.71,251.214,2.854124785561929,26,7,2018,3,0,1,0,0,0,0,3.8,432070,2.74
2018-07-08,0,5049.49,2162.53,11325.8,251.214,2.854124785561929,27,7,2018,3,0,1,0,7212.02,6172.1304725212385,14411.874563447103,3.8,432070,2.62
2018-07-15,0,0,2117.45,7793.24,251.214,2.854124785561929,28,7,2018,3,0,1,0,2117.45,6043.466527188106,0,3.8,432070,2.5
2018-07-22,13065.56,5643.31,1898.93,15010.94,251.214,2.854124785561929,29,7,2018,3,0,1,0,20607.8,5419.783179047114,16106.71094360949,3.8,432070,2.49
2018-07-29,0,3429.38,0,10634.31,251.214,2.854124785561929,30,7,2018,3,0,1,0,3429.38,0,9787.878457110368,3.8,432070,2.37
2018-08-05,0,4793.1,1898.5,11751.39,251.663,2.6429238568742575,31,8,2018,3,0,1,0,6691.6,5017.590942275778,12667.798338384004,3.8,432031,2.51
2018-08-12,0,5880.18,0,9151.2,251.663,2.6429238568742575,32,8,2018,3,0,1,0,5880.18,0,15540.868004714872,3.8,432031,2.72
2018-08-19,0,0,2499.44,9141.46,251.663,2.6429238568742575,33,8,2018,3,0,1,0,2499.44,6605.829604825794,0,3.8,432031,2.64
2018-08-26,0,5387.28,0,7399.92,251.663,2.6429238568742575,34,8,2018,3,0,1,0,5387.28,0,14238.170835661547,3.8,432031,2.83
2018-09-02,9304.18,2744.44,0,10893.16,252.182,2.332055105808828,35,9,2018,3,0,0,0,12048.62,0,6400.1853145859795,3.7,431438,3.67
2018-09-09,0,3977.49,1743.09,11550.47,252.182,2.332055105808828,36,9,2018,3,0,0,0,5720.58,4064.9819343843096,9275.725862803554,3.7,431438,3.07
2018-09-16,0,0,1979.13,8672.09,252.182,2.332055105808828,37,9,2018,3,0,0,0,1979.13,4615.4402215594255,0,3.7,431438,2.93
2018-09-23,0,3343.28,1802.4,9427.22,252.182,2.332055105808828,38,9,2018,3,0,0,0,5145.68,4203.296122709831,7796.713194148539,3.7,431438,2.93
2018-09-30,0,0,1764.47,8036.91,252.182,2.332055105808828,39,9,2018,3,0,0,0,1764.47,4114.841272546502,0,3.7,431438,2.82
2018-10-07,9395.39,0,1771.96,11240.58,252.772,2.492032470218053,40,10,2018,4,0,0,1,11167.35,4415.781855927581,0,3.8,435894,3.05
2018-10-14,7902.89,0,2351,12386.83,252.772,2.492032470218053,41,10,2018,4,0,0,1,10253.89,5858.768337482643,0,3.8,435894,2.74
2018-10-21,7159.96,0,1973.4,12513.84,252.772,2.492032470218053,42,10,2018,4,0,0,1,9133.36,4917.776876728306,0,3.8,435894,2.51
2018-10-28,6587.46,5567.29,0,12235.08,252.772,2.492032470218053,43,10,2018,4,0,0,1,12154.75,0,13873.867451120264,3.8,435894,2.92
2018-11-04,13901.55,0,0,11895.78,252.594,2.147328577667773,44,11,2018,4,0,0,1,13901.55,0,0,3.8,438612,2.7
2018-11-11,0,0,0,10047.41,252.594,2.147328577667773,45,11,2018,4,0,0,1,0,0,0,3.8,438612,2.75
2018-11-18,0,0,2144.01,9705.39,252.594,2.147328577667773,46,11,2018,4,0,0,1,2144.01,4603.893943805482,0,3.8,438612,2.56
2018-11-25,0,4708.16,0,8847.19,252.594,2.147328577667773,47,11,2018,4,1,0,1,4708.16,0,10109.966516232302,3.8,438612,2.95
2018-12-02,0,4238.51,2060.72,10379.07,252.767,2.0023809043401064,48,12,2018,4,1,0,1,6299.23,4126.346377191744,8487.111486854585,3.9,428932,2.76
2018-12-09,0,5857.92,2154.54,11312.48,252.767,2.0023809043401064,49,12,2018,4,0,0,1,8012.46,4314.209753636933,11729.787147151996,3.9,428932,2.77
2018-12-16,0,0,1667.68,8226.23,252.767,2.0023809043401064,50,12,2018,4,0,0,1,1667.68,3339.3305865499087,0,3.9,428932,2.86
2018-12-23,8209.07,6466.58,2089.64,13966.11,252.767,2.0023809043401064,51,12,2018,4,1,0,1,16765.29,4184.25523294526,12948.556308387646,3.9,428932,2.65
2018-12-30,0,5852.55,2339.24,13460.32,252.767,2.0023809043401064,52,12,2018,4,1,0,1,8191.79,4684.04950666855,11719.03436169569,3.9,428932,2.32
2019-01-06,8978.39,4401.35,1997.03,15742.61,252.561,1.4875893578291333,1,1,2019,1,1,0,0,15376.77,2970.760575265514,6547.401420081256,4,430246,2.09
2019-01-13,0,0,2164.28,10440.98,252.561,1.4875893578291333,2,1,2019,1,0,0,0,2164.28,3219.5598953624367,0,4,430246,2.17
2019-01-20,0,0,2134.11,8535.49,252.561,1.4875893578291333,3,1,2019,1,0,0,0,2134.11,3174.679324436732,0,4,430246,2.57
2019-01-27,0,0,1858.5,7801.58,252.561,1.4875893578291333,4,1,2019,1,0,0,0,1858.5,2764.684821525444,0,4,430246,2.44
2019-02-03,0,3231.46,2007.95,9570.01,253.319,1.5188615351321877,5,2,2019,1,0,0,0,5239.41,3049.798019468677,4908.140296318259,3.8,431194,2.2
2019-02-10,0,0,1686.6,7854.78,253.319,1.5188615351321877,6,2,2019,1,0,0,0,1686.6,2561.7118651539477,0,3.8,431194,1.8
2019-02-17,0,0,1909.74,8067.55,253.319,1.5188615351321877,7,2,2019,1,0,0,0,1909.74,2900.630628103344,0,3.8,431194,1.98
2019-02-24,0,0,2053.14,7848.26,253.319,1.5188615351321877,8,2,2019,1,0,0,0,2053.14,3118.4353722413,0,3.8,431194,2.41
2019-03-03,8655.08,4814.95,2144.62,14012.71,254.277,1.8831863513063984,9,3,2019,1,0,0,0,15614.649999999998,4038.719112738728,9067.448122222742,3.8,438196,2.16
2019-03-10,9280.89,4192.35,2004.92,16127.45,254.277,1.8831863513063984,10,3,2019,1,0,0,0,15478.16,3775.637979461224,7894.97629989938,3.8,438196,2.17
2019-03-17,0,0,2144,11636.97,254.277,1.8831863513063984,11,3,2019,1,0,0,0,2144,4037.551537200918,0,3.8,438196,2.13
2019-03-24,0,0,1779.42,8193.65,254.277,1.8831863513063984,12,3,2019,1,0,0,0,1779.42,3350.9794572416317,0,3.8,438196,1.94
2019-03-31,0,4690.89,0,9451.61,254.277,1.8831863513063984,13,3,2019,1,0,0,0,4690.89,0,8833.820023479671,3.8,438196,2.21
2019-04-07,0,4766.53,2003.86,11454.02,255.233,2.000583470209061,14,4,2019,2,0,0,0,6770.389999999999,4008.889192613128,9535.841128255594,3.7,437735,2.31
2019-04-14,0,0,0,5526.84,255.233,2.000583470209061,15,4,2019,2,0,0,0,0,0,0,3.7,437735,2.1
2019-04-21,0,0,1957.17,7677.52,255.233,2.000583470209061,16,4,2019,2,0,0,0,1957.17,3915.481950389067,0,3.7,437735,2.48
2019-04-28,0,0,1900.2,8084.98,255.233,2.000583470209061,17,4,2019,2,0,0,0,1900.2,3801.5087100912574,0,3.7,437735,2.2
2019-05-05,0,0,2004.27,7456.56,255.296,1.7959105553606136,18,5,2019,2,0,0,0,2004.27,3599.489648792617,0,3.6,442514,2.2
2019-05-12,0,0,0,5365.18,255.296,1.7959105553606136,19,5,2019,2,0,0,0,0,0,0,3.6,442514,2.06
2019-05-19,0,0,2038.55,8134.16,255.296,1.7959105553606136,20,5,2019,2,0,0,0,2038.55,3661.053462630379,0,3.6,442514,1.89
2019-05-26,0,5929.51,1926.99,10065.53,255.296,1.7959105553606136,21,5,2019,2,0,0,0,7856.5,3460.701681074349,10648.869597116312,3.6,442514,1.94
2019-06-02,7530.35,0,1641.73,10878.94,255.213,1.671194894390049,22,6,2019,2,0,1,0,9172.08,2743.650793966975,0,3.6,442116,2.07
2019-06-09,0,2905.4,1988.28,11524.63,255.213,1.671194894390049,23,6,2019,2,0,1,0,4893.68,3322.8033846178464,4855.489646160849,3.6,442116,1.97
2019-06-16,0,0,0,6563.85,255.213,1.671194894390049,24,6,2019,2,0,1,0,0,0,0,3.6,442116,2.03
2019-06-23,8258.41,4869.89,1673.52,14165.57,255.213,1.671194894390049,25,6,2019,2,0,1,0,14801.82,2796.778079659635,8138.535304241156,3.6,442116,2.14
2019-06-30,8842.3,5093.95,1986.57,15624.56,255.213,1.671194894390049,26,6,2019,2,0,1,0,15922.82,3319.9456413484395,8512.98323227819,3.6,442116,1.98
2019-07-07,0,0,2297.87,11305.04,255.802,1.826331335037068,27,7,2019,3,0,1,0,2297.87,4196.671984841627,0,3.7,445304,2.23
2019-07-14,0,0,2104.26,8245.57,255.802,1.826331335037068,28,7,2019,3,0,1,0,2104.26,3843.075975065101,0,3.7,445304,1.8
2019-07-21,0,0,2122.39,7676.64,255.802,1.826331335037068,29,7,2019,3,0,1,0,2122.39,3876.1873621693226,0,3.7,445304,2.07
2019-07-28,0,0,0,5023.53,255.802,1.826331335037068,30,7,2019,3,0,1,0,0,0,0,3.7,445304,1.88
2019-08-04,0,0,2095.38,8058.85,256.036,1.7376412106666406,31,8,2019,3,0,1,0,2095.38,3641.0186400066655,0,3.6,448519,2.07
2019-08-11,0,3583.09,2029.69,9902.44,256.036,1.7376412106666406,32,8,2019,3,0,1,0,5612.780000000001,3526.872988877974,6226.124845527534,3.6,448519,1.84
2019-08-18,0,0,2105.81,8058.05,256.036,1.7376412106666406,33,8,2019,3,0,1,0,2105.81,3659.1422378339184,0,3.6,448519,1.78
2019-08-25,0,0,2084.53,7498.36,256.036,1.7376412106666406,34,8,2019,3,0,1,0,2084.53,3622.165232870933,0,3.6,448519,1.84
2019-09-01,12357.56,4028.9,0,12216.8,256.43,1.6844977040391562,35,9,2019,3,0,0,0,16386.46,0,6786.672799803357,3.5,444555,1.62
2019-09-08,0,5314.82,0,11042.8,256.43,1.6844977040391562,36,9,2019,3,0,0,0,5314.82,0,8952.802087381388,3.5,444555,1.88
2019-09-15,0,5821.59,0,10713.92,256.43,1.6844977040391562,37,9,2019,3,0,0,0,5821.59,0,9806.454988857313,3.5,444555,1.76
2019-09-22,0,0,1989.98,9130.06,256.43,1.6844977040391562,38,9,2019,3,0,0,0,1989.98,3352.11674108384,0,3.5,444555,1.54
2019-09-29,0,5800.56,0,7325.82,256.43,1.6844977040391562,39,9,2019,3,0,0,0,5800.56,0,9771.03000214137,3.5,444555,1.78
2019-10-06,12444.89,5078.26,2262.49,15292.36,257.155,1.7339736996186297,40,10,2019,4,0,0,1,19785.64,3923.098155650152,8805.569279825302,3.6,445627,1.71
2019-10-13,0,0,1828.21,11571.92,257.155,1.7339736996186297,41,10,2019,4,0,0,1,1828.21,3170.0680573797745,0,3.6,445627,1.63
2019-10-20,0,3840.58,1820.21,10464.3,257.155,1.7339736996186297,42,10,2019,4,0,0,1,5660.79,3156.1962677828255,6659.464711281315,3.6,445627,1.71
2019-10-27,0,0,2014.92,9229.31,257.155,1.7339736996186297,43,10,2019,4,0,0,1,2014.92,3493.818286835569,0,3.6,445627,1.68
2019-11-03,0,5194.29,1784.58,9964.76,257.879,2.092290394862917,44,11,2019,4,0,0,1,6978.87,3733.859592864464,10867.9630751325,3.6,449040,1.76
2019-11-10,0,0,1915.07,8018.56,257.879,2.092290394862917,45,11,2019,4,0,0,1,1915.07,4006.882566490126,0,3.6,449040,1.71
2019-11-17,0,0,1834.01,7278.85,257.879,2.092290394862917,46,11,2019,4,0,0,1,1834.01,3837.281507082538,0,3.6,449040,1.58
2019-11-24,0,0,2282.23,8467.44,257.879,2.092290394862917,47,11,2019,4,1,0,1,2282.23,4775.0879078679945,0,3.6,449040,2.62
2019-12-01,0,0,2157.16,7620.08,258.63,2.3195274699624457,48,12,2019,4,1,0,1,2157.16,5003.591877104189,0,3.6,449643,1.21
2019-12-08,0,4217.37,0,7353.99,258.63,2.3195274699624457,49,12,2019,4,0,0,1,4217.37,0,9782.30556599552,3.6,449643,1.23
2019-12-15,7304.48,4889.61,1921.76,12947.48,258.63,2.3195274699624457,50,12,2019,4,0,0,1,14115.85,4457.5751106750295,11341.584712403072,3.6,449643,1.61
2019-12-22,0,0,2188.18,10250.78,258.63,2.3195274699624457,51,12,2019,4,1,0,1,2188.18,5075.543619222424,0,3.6,449643,2.05
2019-12-29,11938.79,0,2081.04,13096.57,258.63,2.3195274699624457,52,12,2019,4,1,0,1,14019.830000000002,4827.029446090648,0,3.6,449643,2.06
2020-01-05,0,0,2099.61,10843.3,259.127,2.599767976845202,1,1,2020,1,1,0,0,2099.61,5458.498841863955,0,3.6,447774,1.76
2020-01-12,0,0,1994.76,9702.32,259.127,2.599767976845202,2,1,2020,1,0,0,0,1994.76,5185.913169491735,0,3.6,447774,1.32
2020-01-19,9172.76,0,1662.35,11509.72,259.127,2.599767976845202,3,1,2020,1,0,0,0,10835.11,4321.724296308621,0,3.6,447774,1.61
2020-01-26,0,7021.04,0,10862.91,259.127,2.599767976845202,4,1,2020,1,0,0,0,7021.04,0,18253.07495614924,3.6,447774,1.68
2020-02-02,13845.88,0,1893.5,14894.3,259.25,2.3413166797595197,5,2,2020,1,0,0,0,15739.38,4433.283133124651,0,3.5,447972,2.02
2020-02-09,0,2798.56,2129.01,12071.16,259.25,2.3413166797595197,6,2,2020,1,0,0,0,4927.57,4984.686624374815,6552.315207307802,3.5,447972,1.94
2020-02-16,13735.12,5199.3,2202.37,16592.25,259.25,2.3413166797595197,7,2,2020,1,0,0,0,21136.79,5156.445616001974,12173.207813073672,3.5,447972,1.67
2020-02-23,0,0,1868.41,12441.24,259.25,2.3413166797595197,8,2,2020,1,0,0,0,1868.41,4374.539497629485,0,3.5,447972,1.6
2020-03-01,0,4482.48,2093.68,12279.8,258.076,1.4940399642909163,9,3,2020,1,0,0,0,6576.16,3128.0415924366057,6697.0042591347465,4.4,420954,1.61
2020-03-08,0,0,0,6790.08,258.076,1.4940399642909163,10,3,2020,1,0,0,0,0,0,0,4.4,420954,1.37
2020-03-15,9463.99,4560.81,0,11909.22,258.076,1.4940399642909163,11,3,2020,1,0,0,0,14024.8,0,6814.0324095376545,4.4,420954,1.27
2020-03-22,0,5181.34,2336.38,13496.33,258.076,1.4940399642909163,12,3,2020,1,0,0,0,7517.72,3490.6450917700113,7741.129028579096,4.4,420954,-0.9
2020-03-29,0,4497.18,1829.48,12297.33,258.076,1.4940399642909163,13,3,2020,1,0,0,0,6326.66,2733.316233870946,6718.966646609823,4.4,420954,-3.64
2020-04-05,0,0,0,6378.02,256.032,0.3130472940411133,14,4,2020,2,0,0,0,0,0,0,14.8,370296,-5.52
2020-04-12,11228.16,4039.5,1997.77,14447.22,256.032,0.3130472940411133,15,4,2020,2,0,0,0,17265.43,625.3964926165149,1264.5545442790772,14.8,370296,-7.52
2020-04-19,11844.41,0,2002.3,14199.63,256.032,0.3130472940411133,16,4,2020,2,0,0,0,13846.71,626.8145968585212,0,14.8,370296,-7.95
2020-04-26,0,0,0,8818.6,256.032,0.3130472940411133,17,4,2020,2,0,0,0,0,0,0,14.8,370296,-8.09
2020-05-03,0,5251.48,1881.76,11735.1,255.802,0.1982013035848551,18,5,2020,2,0,0,0,7133.24,372.96728503383696,1040.8501817497947,13.2,437957,-8.11
2020-05-10,10596.48,0,0,10804.46,255.802,0.1982013035848551,19,5,2020,2,0,0,0,10596.48,0,0,13.2,437957,-7.29
2020-05-17,0,0,2065.39,10008.84,255.802,0.1982013035848551,20,5,2020,2,0,0,0,2065.39,409.36299041112386,0,13.2,437957,-7.31
2020-05-24,8610.86,0,2066.01,13038.94,255.802,0.1982013035848551,21,5,2020,2,0,0,0,10676.87,409.48587521934655,0,13.2,437957,-6.87
2020-05-31,0,4290.27,2445.19,12997.57,255.802,0.1982013035848551,22,5,2020,2,0,0,0,6735.460000000001,484.63984551265185,850.3371067309964,13.2,437957,-6.66
2020-06-07,9129.69,0,2274.2,13131.68,257.042,0.7166562831830481,23,6,2020,2,0,1,0,11403.89,1629.8197192148878,0,11,465800,-6.31
2020-06-14,13698.53,5994.39,0,14703.9,257.042,0.7166562831830481,24,6,2020,2,0,1,0,19692.92,0,4295.917257349632,11,465800,-5.62
2020-06-21,11344.59,6319.14,2064.97,17668.34,257.042,0.7166562831830481,25,6,2020,2,0,1,0,19728.7,1479.8737250844986,4528.6513853133265,11,465800,-5.05
2020-06-28,0,0,2199.42,13267.43,257.042,0.7166562831830481,26,6,2020,2,0,1,0,2199.42,1576.2281623584597,0,11,465800,-4.86
2020-07-05,0,0,0,8106.56,258.352,0.9968647625897996,27,7,2020,3,0,1,0,0,0,0,10.2,471873,-4.38
2020-07-12,0,5496,1986.07,11182.44,258.352,0.9968647625897996,28,7,2020,3,0,1,0,7482.07,1979.8431990367235,5478.768735193539,10.2,471873,-4.17
2020-07-19,0,5771.41,2010.31,10886.67,258.352,0.9968647625897996,29,7,2020,3,0,1,0,7781.719999999999,2004.0072008819,5753.315259458396,10.2,471873,-4.84
2020-07-26,0,6029.44,2173.46,11160.91,258.352,0.9968647625897996,30,7,2020,3,0,1,0,8202.9,2166.645686898426,6010.536274149442,10.2,471873,-4.25
2020-08-02,0,0,1830.34,7160.31,259.316,1.2810698495523851,31,8,2020,3,0,1,0,1830.34,2344.793388429713,0,8.4,473696,-3.99
2020-08-09,11352.87,4575.68,1934.87,14452.13,259.316,1.2810698495523851,32,8,2020,3,0,1,0,17863.420000000002,2478.703619803424,5861.765689199859,8.4,473696,-3.56
2020-08-16,0,5862.6,0,11189.87,259.316,1.2810698495523851,33,8,2020,3,0,1,0,5862.6,0,7510.400099985814,8.4,473696,-3.54
2020-08-23,9583.4,2344.38,2062.29,15012.92,259.316,1.2810698495523851,34,8,2020,3,0,1,0,13990.07,2641.937540033389,3003.3145338936215,8.4,473696,-2.82
2020-08-30,0,0,0,8606.27,259.316,1.2810698495523851,35,8,2020,3,0,1,0,0,0,0,8.4,473696,-2.21
2020-09-06,0,0,0,5991.27,259.997,1.3910228912373812,36,9,2020,3,0,0,0,0,0,0,7.8,482702,-2.3
2020-09-13,0,0,2194.51,8239.06,259.997,1.3910228912373812,37,9,2020,3,0,0,0,2194.51,3052.613645049346,0,7.8,482702,-3.38
2020-09-20,0,0,0,5561.95,259.997,1.3910228912373812,38,9,2020,3,0,0,0,0,0,0,7.8,482702,-2.42
2020-09-27,0,3970.06,2081.28,9797.26,259.997,1.3910228912373812,39,9,2020,3,0,0,0,6051.34,2895.108123074537,5522.444339585878,7.8,482702,-2.45
2020-10-04,11270.06,4650.06,1961.36,14673.81,260.319,1.2303863428671624,40,10,2020,4,0,0,1,17881.48,2413.2305574459374,5721.370317512878,6.9,480763,-2.1
2020-10-11,0,0,2151.15,11598.35,260.319,1.2303863428671624,41,10,2020,4,0,0,1,2151.15,2646.7455814586965,0,6.9,480763,-1.75
2020-10-18,11888.96,0,1892.17,13368.12,260.319,1.2303863428671624,42,10,2020,4,0,0,1,13781.13,2328.100126382959,0,6.9,480763,-1.84
2020-10-25,8174.36,7696.22,0,14428.14,260.319,1.2303863428671624,43,10,2020,4,0,0,1,15870.58,0,9469.323979701114,6.9,480763,-1.36
2020-11-01,0,4926.08,0,11172.84,260.911,1.1757452138405844,44,11,2020,4,0,0,1,4926.08,0,5791.814982995826,6.7,478079,-1.15
2020-11-08,0,0,0,6340.56,260.911,1.1757452138405844,45,11,2020,4,0,0,1,0,0,0,6.7,478079,-1.08
2020-11-15,0,0,1769.21,8095.38,260.911,1.1757452138405844,46,11,2020,4,0,0,1,1769.21,2080.1401897789005,0,6.7,478079,-1.16
2020-11-22,0,3981.96,1930.41,9268.66,260.911,1.1757452138405844,47,11,2020,4,1,0,1,5912.37,2269.6703182500028,4681.770411704653,6.7,478079,-1.09
2020-11-29,0,0,0,4532.33,260.911,1.1757452138405844,48,11,2020,4,1,0,1,0,0,0,6.7,478079,-0.42
2020-12-06,0,5382.73,1793.47,10982.62,262.045,1.3204191315779434,49,12,2020,4,0,0,1,7176.2,2368.1320999110944,7107.459672118543,6.7,485949,-0.73
2020-12-13,0,0,1912.65,8447.64,262.045,1.3204191315779434,50,12,2020,4,0,0,1,1912.65,2525.4996520125537,0,6.7,485949,-0.91
2020-12-20,0,6096.35,0,7617.05,262.045,1.3204191315779434,51,12,2020,4,1,0,1,6096.35,0,8049.737172795196,6.7,485949,-0.29
2020-12-27,0,0,1918.79,7610.02,262.045,1.3204191315779434,52,12,2020,4,1,0,1,1918.79,2533.607025480442,0,6.7,485949,0.92
2021-01-03,0,0,1892.95,7849.88,262.687,1.3738437137002402,53,1,2021,1,0,0,0,1892.95,2600.61745784887,0,6.4,501604,-0.28
2021-01-10,0,0,2005.08,7104.61,262.687,1.3738437137002402,1,1,2021,1,1,0,0,2005.08,2754.6665534660774,0,6.4,501604,0.32
2021-01-17,0,0,2230.84,8447.4,262.687,1.3738437137002402,2,1,2021,1,0,0,0,2230.84,3064.825510271044,0,6.4,501604,0.33
2021-01-24,0,0,2034.5,7885.48,262.687,1.3738437137002402,3,1,2021,1,0,0,0,2034.5,2795.0850355231387,0,6.4,501604,0.41
2021-01-31,0,3820.84,2004.21,9992.42,262.687,1.3738437137002402,4,1,2021,1,0,0,0,5825.05,2753.471309435158,5249.237015054426,6.4,501604,-0.03
2021-02-07,0,6301.43,2019.89,11322.95,263.579,1.6698167791706853,5,2,2021,1,0,0,0,8321.32,3372.8462140790757,10522.233546769532,6.2,488805,-0.02
2021-02-14,11898.84,5895.26,2045.48,15977.27,263.579,1.6698167791706853,6,2,2021,1,0,0,0,19839.58,3415.5768254580535,9844.004065573774,6.2,488805,0.53
2021-02-21,10175.1,0,1796.65,14259.48,263.579,1.6698167791706853,7,2,2021,1,0,0,0,11971.75,3000.076316297012,0,6.2,488805,-0.91
2021-02-28,0,3667.79,1977.04,12886.05,263.579,1.6698167791706853,8,2,2021,1,0,0,0,5644.83,3301.2945650916117,6124.537284474448,6.2,488805,0.14
2021-03-07,0,3031.38,0,9131.86,264.961,2.6678187820641908,9,3,2021,1,0,0,0,3031.38,0,8087.172499573747,6.1,539607,1.02
2021-03-14,0,4339.94,1725.85,10953.39,264.961,2.6678187820641908,10,3,2021,1,0,0,0,6065.789999999999,4604.255045025483,11578.173445031664,6.1,539607,1.21
2021-03-21,0,0,2173.13,8574.23,264.961,2.6678187820641908,11,3,2021,1,0,0,0,2173.13,5797.5170298671555,0,6.1,539607,3.85
2021-03-28,12376.06,5498.69,2216.28,14958.05,264.961,2.6678187820641908,12,3,2021,1,0,0,0,20091.03,5912.633410313225,14669.508458748543,6.1,539607,6.61
2021-04-04,0,6047.97,1873.72,13543.21,266.614,4.133077115360573,13,4,2021,2,0,0,0,7921.69,7744.229252593413,24996.726401387285,6.1,542199,8.27
2021-04-11,11841.72,0,1951.73,13867.08,266.614,4.133077115360573,14,4,2021,2,0,0,0,13793.45,8066.650598362691,0,6.1,542199,10.27
2021-04-18,0,6742.67,1824.36,13854.92,266.614,4.133077115360573,15,4,2021,2,0,0,0,8567.03,7540.220566179214,27867.975073428275,6.1,542199,10.22
2021-04-25,0,0,2139.88,10895.22,266.614,4.133077115360573,16,4,2021,2,0,0,0,2139.88,8844.289057617783,0,6.1,542199,10.55
2021-05-02,0,0,1787.76,7854.4,268.383,4.918257089467626,17,5,2021,2,0,0,0,1787.76,8792.663294266642,0,5.8,536589,10.57
2021-05-09,0,0,1955.5,7405.54,268.383,4.918257089467626,18,5,2021,2,0,0,0,1955.5,9617.651738453942,0,5.8,536589,9.84
2021-05-16,0,4111.03,0,7705.26,268.383,4.918257089467626,19,5,2021,2,0,0,0,4111.03,0,20219.102442514093,5.8,536589,9.86
2021-05-23,0,5242.12,2010.19,10888.41,268.383,4.918257089467626,20,5,2021,2,0,0,0,7252.31,9886.631218676926,25782.09385384003,5.8,536589,9.77
2021-05-30,0,0,1641.15,7715.63,268.383,4.918257089467626,21,5,2021,2,0,0,0,1641.15,8071.597622379794,0,5.8,536589,9.84
